2025-12-05 13:51:03 INFO    LoggerUtil                     - Logging system initialized
2025-12-05 13:51:03 SEVERE  LoginController                - Error creating user account
    Exception: java.lang.RuntimeException: Failed to save user
        at org.example.dao.UtilisateurDAO.save(UtilisateurDAO.java:64)
        at org.example.controller.LoginController.lambda$5(LoginController.java:202)
        at java.base/java.util.Optional.ifPresent(Optional.java:178)
        at org.example.controller.LoginController.handleRegister(LoginController.java:200)
        at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:104)
        at java.base/java.lang.reflect.Method.invoke(Method.java:565)
        at com.sun.javafx.reflect.Trampoline.invoke(MethodUtil.java:72)
        at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:104)
        at java.base/java.lang.reflect.Method.invoke(Method.java:565)
        at javafx.base@21.0.1/com.sun.javafx.reflect.MethodUtil.invoke(MethodUtil.java:270)
        ... 48 more
2025-12-05 13:51:03 FINER   css                            - -fx-region-background, call applyStyle: ObjectProperty [bean: Button@644f0491[styleClass=button btn-secondary]'Créer un compte', name: background, value: javafx.scene.layout.Background@27f8b982], value =javafx.scene.layout.Background@a5b2932a, originOfCalculatedValue=AUTHOR
2025-12-05 13:51:03 FINER   layout                         - VBox@16b862f3[styleClass=gradient-background] resized to 400.0 x 500.0
2025-12-05 13:51:03 FINER   layout                         - VBox@16b862f3[styleClass=gradient-background] moved to (0.0,0.0)
2025-12-05 13:51:03 FINER   layout                         - VBox@2e76d7c7[styleClass=login-card] resized to 400.0 x 755.0
2025-12-05 13:51:03 FINER   layout                         - VBox@2e76d7c7[styleClass=login-card] moved to (0.0,-127.0)
2025-12-05 13:51:03 FINER   layout                         - VBox@7173c7aa resized to 300.0 x 120.0
2025-12-05 13:51:03 FINER   layout                         - VBox@7173c7aa moved to (50.0,50.0)
2025-12-05 13:51:03 FINER   layout                         - VBox@69d96650 resized to 300.0 x 441.0
2025-12-05 13:51:03 FINER   layout                         - VBox@69d96650 moved to (50.0,195.0)
2025-12-05 13:51:03 FINER   layout                         - VBox@5c21e8fb resized to 300.0 x 44.0
2025-12-05 13:51:03 FINER   layout                         - VBox@5c21e8fb moved to (50.0,661.0)
2025-12-05 13:51:03 FINER   layout                         - VBox@8514e25 resized to 300.0 x 65.0
2025-12-05 13:51:03 FINER   layout                         - VBox@8514e25 moved to (0.0,0.0)
2025-12-05 13:51:03 FINER   layout                         - VBox@5d5f29f8 resized to 300.0 x 65.0
2025-12-05 13:51:03 FINER   layout                         - VBox@5d5f29f8 moved to (0.0,85.0)
2025-12-05 13:51:03 FINER   layout                         - HBox@761a9930 resized to 300.0 x 23.0
2025-12-05 13:51:03 FINER   layout                         - HBox@761a9930 moved to (0.0,170.0)
2025-12-05 13:51:03 FINER   layout                         - Label[id=lblError, styleClass=label error-label]'Erreur lors de la création du compte: Failed to save user' resized to 300.0 x 39.0
